id,warehouse_id,created_by,name,manager_name,manager_email,telephone,street,city,country_id,state,state_id,postcode,latitude,longtitude,total_purchase,status,is_unwarehouse,tin_no,cst_no,cin_no,gstin,branch_address,inv_prefix,alias_name,erp_warehouse_id,is_default_warehouse
1,1,Automatically created,unWarehouse,,chn-lg@inthreeaccess.com,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,0,2,1,,,U52100TN2013PTC090074,NULL,,,,,0
,2,rajesh,Inthree-Chennai,Chennai,chn-lg@inthreeaccess.com,044-3500 4949,"Inthree Access Services Pvt Ltd,  Old No.62, New No.1, LUZ Avenue 5th street, Mylapore",Chennai,IN,Tamil Nadu,515,600004,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"INTHREE ACCESS SERVICES PVT LTD
Old Nos: 62, New No:1, 
Luz Avenue 5th Street, 
Mylapore, Chennai - 600004.",,,,0
,3,rajesh,Inthree-Mysore,Sachin,chn-lg@inthreeaccess.com,9741309944,"D.No:14/A, 4th Main, Ground Floor, 8th Cross, Saraswathipuram",Mysore,IN,Karnataka,501,570023,NULL,NULL,0,2,0,29271132096,29271132096,U52100TN2013PTC090074,NULL,"INTHREE ACCESS SERVICES PVT LTD
D.No:5916/4, Chowdeshwari Temple
Road, Shivaji Nagar
Nelamangala,Bangalore Rural
Bengaluru - 562123",,,,0
,4,rajesh,Inthree-Kolkata,Michael David,chn-lg@inthreeaccess.com,(033) 40650047,"INTHREE ACCESS SERVICES PVT LTD, 4B,GROUND FLOOR, RAJA BASANTA ROY ROAD,",KOLKATA,IN,West Bengal,519,700026,NULL,NULL,0,2,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"Inthree Access Services Pvt Ltd,
4B,GROUND FLOOR, RAJA BASANTA ROY ROAD, 
Kolkata - 700026,
VERY NEAR RASH BEHARI AVENUE TOWARDS",BB/KOL/16-17/,,,0
,6,rajesh,Inthree-Andhra Pradesh,Saibabu,chn-lg@inthreeaccess.com,9640072835,"No 23 4 55 First Floor, Kakaraparthi Vari Street,","S N Puram, Vijayawada, Krishna,Andhra Pradesh",IN,Andhra Pradesh,486,520011,NULL,NULL,0,1,0,37913441700,37913441700,U52100TN2013PTC090074,37AADCI1865R1ZW,"INTHREE ACCESS SERVICES PVT LTD,
18-328, INDUSTRIAL ESTATE,DOWELESWARAM,
EAST GODAVARI, DOWLESWARAM,
East Godavari, Andhra Pradesh,",,,,1
,7,rajesh,Inthree-Kerala,Kerala Admin,chn-lg@inthreeaccess.com,6238508898,"C/O VRL Logistics 15/286 B-C, North Veluthully Road","Aroor, Alappuzha",IN,Kerala,502,688537,NULL,NULL,0,1,0,32150953001,32150953001C,U52100TN2013PTC090074,32AADCI1865R1Z6,"INTHREE ACCESS SERVICES PVT LTD
C/O VRL Logistics
15/286 B-C, North Veluthully Road ,
OPP- Chandiroor HS School,Chandiroor PO,
Aroor – 688537 ,Alappuzha, Kerala",KLR/16-17/,,,1
,8,rajesh,Inthree-Bengaluru,Nagaraju,chn-lg@inthreeaccess.com,9148974799,"Inthree Access Services Pvt Ltd,  1, Nelamangala New Town, Marappanpalaya Road, Nelmangala, Bengaluru  (Bangalore) Rural, Karnataka",NELMANGALA,IN,Karnataka,501,562123,NULL,NULL,0,1,0,29271132096,29271132096,U52100TN2013PTC090074,29AADCI1865R1ZT,"Inthree access services Pvt Ltd
1, Nelamangala New Town, Marappanpalaya Road, Nelmangala, Bengaluru
(Bangalore) Rural, Karnataka, 562123",,,,1
,9,govind,Inthree-Odisha,Satya,chn-lg@inthreeaccess.com,9324450943/8118052655,"INTHREE ACCESS SERVICES PVT LTD, C/O,VRL Logistics Ltd,Plot No.1440/1441,   At Nankar, Aside NH45,  Jagatpur,Cuttuk",Orissa,IN,Odisha,510,754021,NULL,NULL,0,1,0,21343304747,21343304747,U52100TN2013PTC090074,21AADCI1865R1Z9,"INTHREE ACCESS SERVICES PVT LTD
NH-5, BHANPUR, NEAR BIJAY DHABA
GOPALPUR, CUTTACK - 753011

",BB/ORI/16-17/,,,1
,10,rajesh,Inthree-Bihar,Anuradha,chn-lg@inthreeaccess.com,9741309944,"INTHREE ACCESS SERVICES PVT LTD,road no 1, Madhuraj bhavan,  Loha godam road, zakariyapur, Zero mile, Patna, Bihar, 800030",Patna,IN,Bihar,489,800030,NULL,NULL,0,1,0,10134053063,10134053063,U52100TN2013PTC090074,10AADCI1865R1ZC,"INTHREE ACCESS SERVICES PVT LTD
road no 1, Madhuraj bhavan, 
Loha godam road,
zakariyapur, Zero mile,
Patna, Bihar, 800030",BB/BIH/16-17/,,,1
,11,rajesh,Inthree-Pondicherry,Sachin,chn-lg@inthreeaccess.com,044-3500 4949,"Old No.62, New No.1, LUZ Avenue, Mylapore",Chennai,IN,Puducherry,511,600004,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,NULL,"INTHREE ACCESS SERVICES PVT LTD
Old Nos: 62, New No:1, 
Luz Avenue 5th Street, 
Mylapore, Chennai - 600004.",,,,0
